text_tweet_clean,scores,compound,sentimen
 gak bisa negara maju pun prilaku seks bebas ini udah jadi hal normal yang bisa mencegah cuma dari keluarga setidaknya mengawasi gerak gerik anak kalo gak akan bisa hindari seks bebas usia dini ini selama pelaku yang berniat melakukan ,"{'neg': 0.055, 'neu': 0.779, 'pos': 0.166, 'compound': 0.6584}",0.6584,positif
 the real seks bebas ,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,positif
 aku lebih orangtuaku ngasi aku kepercayaan buat ngelakuin hal diluar batas karna aku termasuk punya orangtua ngekang anaknya buat pulang sblm jam dll dan budaya seks bebas bukan budaya keluargaku segimana mungkin ngejaga kepercayaan mereka ,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.765}",0.765,positif
 disclaimer bukan berarti aku mendukung seks bebas hook culture sex marriage dan penggunaan trauma masalah psikologis lainnya sbg alasan untk melanggar perintah allah ,"{'neg': 0.3, 'neu': 0.574, 'pos': 0.126, 'compound': -0.7475}",-0.7475,negatif
 gak pelaku gimana sih maksudnya beda kaya digambarin pas kejadian aja dlu abis kejadian seliweran fotonya lagi ngaji gitu kenyataannya kan pelaku seks bebas juga ,"{'neg': 0.044, 'neu': 0.77, 'pos': 0.186, 'compound': 0.7527}",0.7527,positif
 ada yang namanya pengetahuan kolektif itu bisa pelajari dari orang sekitar tanpa harus merasakan contohnya tahu bahaya seks bebas dari orang yang terkena hiv bisa tanya bukan malah jadi ikutan ngewe gaya bebas aduh ,"{'neg': 0.098, 'neu': 0.799, 'pos': 0.102, 'compound': 0.0516}",0.0516,positif
 pergaulan bebas seks bebas idk sekelas david anak pesantren woww ,"{'neg': 0.29, 'neu': 0.483, 'pos': 0.228, 'compound': 0.0258}",0.0258,positif
 selingkuh aja udah takut sama tuhan kak apalagi cuma hiv ndiliat banyak nya seks bebas fwb sana sini underage sex hidung belang suka sewa sana sini apakah mereka concern sama hiv apalagi cuma selingkuh poligami resmi aneh ,"{'neg': 0.118, 'neu': 0.787, 'pos': 0.095, 'compound': -0.2682}",-0.2682,negatif
 ibu naruh harapan besar katanya walau pun gak diwaris harta ilmu pas masuk sma malah pernah dihina tetangga karena dibilang sok sok nyekolahin anak sma negeri nkaya orang mampu aja jadi ibu ngewanti wanti teteh jgn bikin masalah seks bebas ngerokok atau cont ,"{'neg': 0.103, 'neu': 0.785, 'pos': 0.112, 'compound': 0.121}",0.121,positif
 perlu heran sebetulnya jkt jabar smp sudah pergaulan bebas ortu era sekarang harus siap dgn pendidikan seks dini ,"{'neg': 0.046, 'neu': 0.819, 'pos': 0.135, 'compound': 0.3612}",0.3612,positif
 ditambah lagi orang cenderung mudah komentar negatif padahal kalau dilihat lagi sebenernya ini nunjukin masalah lain minimnya edukasi seksual kalo pun ada edukasi seksual org tertentu malah blg klo hal itu justru bertujuan untuk dukung seks bebas ,"{'neg': 0.152, 'neu': 0.664, 'pos': 0.184, 'compound': 0.2023}",0.2023,positif
 wow ternyata agnes udah icik icik ehem sama mario duh masih tahun padahal udah seks bebas dunia sudah gila xad xad xad ,"{'neg': 0.066, 'neu': 0.74, 'pos': 0.195, 'compound': 0.6908}",0.6908,positif
 aku nyoba untuk evaluasi aku pake takut harusnya lebih takut ini bikin orang ngira aku membenarkan perilaku yang salah orang mengira jadi gay monyet seks bebas seks seks dan seks gak semua orang ngalamin ketertarikan seksual sesama jenis ini bisa dimaklumi ,"{'neg': 0.138, 'neu': 0.724, 'pos': 0.138, 'compound': -0.0}",-0.0,neutral
 mari bersama selamatkan generasi muda dari narkoba dan seks bebas polresbatang poldajateng batang opsbinakusumacandi ,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7579}",0.7579,positif
 seks bebas tuh gmn nad wkwkw aku kayanya loading kepalanya ,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7003}",0.7003,positif
 beratnya peran ortu nih harusnya menjaga pergaulan anak nya dari seks bebas narkoba ajaran sesat mihol bullying dll itulah pentingnya membesarkan anak harta yang halal agar allah swt memberikan keberkahan dalam mendidik anak anak kita dunia adlh gab neraka dan surga ,"{'neg': 0.135, 'neu': 0.65, 'pos': 0.216, 'compound': 0.4767}",0.4767,positif
 banyak bngt kasus berawal seks bebas pembuktian kalo seks bebas itu banyak mudharat nya ntp kenapa saat ada ceramah jauhi zinah neh malah serang sjw sales kondom berkedok open minded dngn alasan macem npling template ush bawa agama xad ,"{'neg': 0.111, 'neu': 0.815, 'pos': 0.075, 'compound': -0.4767}",-0.4767,negatif
 aku sini nggak bahas kasus agnesnya kak justru aku nggak setuju sama pernyataan dimana feminisme dikaitkan sama seks bebas remajanya itu banyak salah mengartikan kalo feminisme membenarkan seks bebas itu sendiri ,"{'neg': 0.116, 'neu': 0.729, 'pos': 0.155, 'compound': 0.3999}",0.3999,positif
 woy aduhh lagu seks bebas kedua not cute ,"{'neg': 0.159, 'neu': 0.385, 'pos': 0.456, 'compound': 0.6828}",0.6828,positif
 belum jadi anak tuhan kalau belum judi mabok dan seks bebas nhalelulululul nalar jalan ,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6597}",0.6597,positif
 msh abg dlu nakal pergaulan lumayan bebas ttp menjauhi hal dilarang agama yaitu seks narkoba dan alkohol cukup tau aja krn ngeliat wlw terlibat tau celah nya ,"{'neg': 0.077, 'neu': 0.834, 'pos': 0.089, 'compound': -0.1154}",-0.1154,negatif
 belasan tahun udah pada seks bebas gua seusia itu lagi lucu lucu nya ,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.7351}",0.7351,positif
 duta seks bebas ,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,positif
 definisi nakal disini seks bebas njadi kakaknya sudah kenyang seks bebas nkalau slepet apanya slempit njadi kalau macem dislepet ,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.765}",0.765,positif
 jika saya posisikan sbg diri saya saya punya hak untuk memutuskan apa baik untuk diri saya amp seks bebas tidak termasuk dalam apa baik untuk diri saya maka saya putuskan untuk tidak melakukannya karena saya bertanggung jawab atas keputusan saya sendiri untuk tubuh saya ,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.886}",0.886,positif
 dan ini biasanya disalah artikan sama orang kalo feminisme itu mendukung seks bebas karena your body your choice padahal tiap individu punya hak memutuskan sendiri apakah hal itu termasuk hal baik bagi tubuhnya sendiri ,"{'neg': 0.051, 'neu': 0.756, 'pos': 0.193, 'compound': 0.7506}",0.7506,positif
 kalo seks bebas consent masuk ranah feminisme kak ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 kayak whats wrong with being virgin terlebih lagi mbaknya muslim muslim dilarang keras kan seks bebas ,"{'neg': 0.239, 'neu': 0.526, 'pos': 0.235, 'compound': -0.0258}",-0.0258,negatif
 chat seks yuk nalur bebas nngobrol nakal boleh chatseks hijabcrot sange_aa sangeberat malamjumat malamjumatcrot maljum chatngentot binor binortetangga stepmom momfriends ,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5106}",0.5106,positif
 gila anak tahun perilakunya seks bebas didikan siapa itu beginilah anak dikasi makan uang haram xad ,"{'neg': 0.101, 'neu': 0.759, 'pos': 0.139, 'compound': 0.2263}",0.2263,positif
 jaman smp gue badung sih bahkan temen temen gue ada ketangkep krna bandar narkoba dan seks bebas hal wajar mungkin jakarta gue ttp kaget klo ada anak umur tahun dah ngewe kali ,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6757}",0.6757,positif
 ternyata perkara apem mentah bedanya satu dianggap pelaku yang satu lagi dianggap korban statusnya sama sama pelaku seks bebas ,"{'neg': 0.21, 'neu': 0.701, 'pos': 0.089, 'compound': -0.5423}",-0.5423,negatif
 korbannya juga pelaku seks bebas ,"{'neg': 0.387, 'neu': 0.336, 'pos': 0.277, 'compound': -0.0772}",-0.0772,negatif
 bner berarti pas bpak bilang tujuan cwo nikah buat ngwe doang kira dia ngejokes taunya beneran untung aja bpak menganut sistem seks bebas jadi nerapin anak nya mesti nikah dulu klo mau ngwe ,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.8268}",0.8268,positif
 pergi test dekat hospital idk lah proses macam mana boleh tanya mintak nak test std sebab cth ada bukti partner buat aktiviti seks bebas idk why the other guy keep gunakan hadis ect dalam kes ,"{'neg': 0.09, 'neu': 0.841, 'pos': 0.069, 'compound': 0.0088}",0.0088,positif
 curhatan ibu ibu muda forum ibu hamil banyak ngeluh suaminya nggak perhatian nggak mau antar periksa dll terus ada reply kalau itu propaganda agar orang orang nggak nikah dan seks bebas npadahal literally bersuami wong masuk komunitas ibu hamil ,"{'neg': 0.098, 'neu': 0.823, 'pos': 0.079, 'compound': -0.0325}",-0.0325,negatif
 cbuset dia kan arab bat masa seks bebas mardii xad xad xad xad ,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,positif
 masih agak didn get the point ntapi betul kehidupan seks bebas jaman abg smp yang masih mencari jati diri itu rentan bangett karena dia sedang dalam masa meng eksplor diri dan lingkungannya ,"{'neg': 0.061, 'neu': 0.762, 'pos': 0.177, 'compound': 0.7477}",0.7477,positif
 daripada daripada gada bagus gausah dibandingin semuanya salah kok bisa sih nyuruh sender nuntun adeknya jadi manusia yang taat tapi menormalisasi dia gay daripada seks bebas ,"{'neg': 0.048, 'neu': 0.801, 'pos': 0.151, 'compound': 0.6542}",0.6542,positif
 gak bisa dipungkiri seks bebas kalangan anak muda dibawah umur ini memang jadi hal lumrah terutama daerah perkotaan bahkan anak smp pun udah bisa seks bebas berkali kali ,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.765}",0.765,positif
 udah lah ortunya korup anaknya pelaku seks bebas ,"{'neg': 0.169, 'neu': 0.608, 'pos': 0.223, 'compound': 0.2023}",0.2023,positif
 kehidupan remaja ada seks bebas narkoba pokoknya gitu dulu aku nonton ini waktu bulan puasa thn lalu wkw ,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.5859}",0.5859,positif
 aku mau jadi talent yang client nya tipe pacarannya menganut seks bebas ada tidak xef ,"{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.7506}",0.7506,positif
 kata bang bisa buat seks bebas alias unisex alias cwecwo kalo soal bahan udah aman lah dipake seharihari juga dan nada diskon nih jadi cuma sampe desember jam wib tokopedia buruan cek biar nggak kehabisan ,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.7351}",0.7351,positif
 buset justru kalau dia jadi gay malah lebih serem hadeh seks diluar nikah gay atau apapun itu menjuru pergaulan bebas ,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.6705}",-0.6705,negatif
 sebenernya seks bebas itu wajar buat binatang ,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",0.7003,positif
 ada mendang mending gay udh salah normal aja pacaran bisa masuk seks bebas apalagi yang gay gausa nyari nyari pembelaan deh salah tetap salah ,"{'neg': 0.297, 'neu': 0.612, 'pos': 0.092, 'compound': -0.7484}",-0.7484,negatif
 harusnya kamu takut dia masuk pergaulan seks bebas dari pada takut dia jadi gay nfor real atau memang udah normalisasi gay itu ,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.6908}",0.6908,positif
 tapi lebih parah gay gak sih dalam agamaku yang gay itu malah harusnya dib sdangkan berzina seks bebas kalo misalnya belum nikah dapet cambuk cmiiw ,"{'neg': 0.206, 'neu': 0.682, 'pos': 0.112, 'compound': -0.5719}",-0.5719,negatif
 kenapa gay itu selalu dikaitkan dengan seks bebas sih kalo misal nemu gay yang celup sana sini itu salah orangnya loh nkami juga manusia yang punya batas moral sama sama diajarin tentang zina dikira kami gak takut ama hiv aids atau dosa gitu ,"{'neg': 0.105, 'neu': 0.799, 'pos': 0.097, 'compound': -0.128}",-0.128,negatif
 bukan liat seberapa banyak populasi orang hetero atau homo tapi liat berapa banyak dari kaum hetero homo itu yang rutin buat tes banyak kaum hetero yang bahkan suka seks bebas amp main anal tapi gak sadar sama hiv atau std lainnya ,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8957}",0.8957,positif
 nder listen harusnya kamu takut dia masuk pergaulan seks bebas daripada takut dia jadi gay can force people straight tapi kamu bisa nuntun adek kamu untuk jadi manusia yang taat kepada tuhan dan menjadi manusia yang baik ,"{'neg': 0.064, 'neu': 0.747, 'pos': 0.19, 'compound': 0.7506}",0.7506,positif
 jokowi teken perpres soal seks bebas hingga perdagangan manusia nibu negara lebaran war over senin butut zayyan jhope bruno mars memecoin respectjeno taehyungxceline ,"{'neg': 0.125, 'neu': 0.769, 'pos': 0.106, 'compound': -0.1531}",-0.1531,negatif
 tapi semua agama kan ngelarang miras dugem dan seks bebas nsemua agama juga ngajarin kebaikan nyang salah orangnya bukan agamanya ,"{'neg': 0.111, 'neu': 0.625, 'pos': 0.264, 'compound': 0.7096}",0.7096,positif
 jokowi teken perpres nomor tahun atur kajian persoalan pemuda terkait seks bebas hiv aids hingga perdagangan manusia njk ryuichi sakamoto coldplay lebaran jhope ibu negara jjk coming zayyan pagii firmino nunez the rose chenle jeon jungkook coming life ,"{'neg': 0.068, 'neu': 0.9, 'pos': 0.033, 'compound': -0.34}",-0.34,negatif
 isinya remaja pake narkoba seks bebas kelahi ama orang tua pesta kekerasan seksual nangis nangis minum minum ,"{'neg': 0.363, 'neu': 0.412, 'pos': 0.225, 'compound': -0.5719}",-0.5719,negatif
 kalau gak suka sama aturan kost mending pindah aja daripada mencla mencle kan kita bayar kita biaa nentuin sendiri ngekost ditempat seperti apa kalau mau seks bebas kost campur aja mending ,"{'neg': 0.07, 'neu': 0.721, 'pos': 0.208, 'compound': 0.7839}",0.7839,positif
 jokowi teken perpres nomor tahun atur kajian persoalan pemuda terkait seks bebas hiv aids hingga perdagangan manusia nlife goes jhope iklan ponds men zayyan shawn mas adam salah van dijk kasad dudung abdurachman persib lebaran ipul onic the rose you want ,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.1531}",0.1531,positif
 mas mba yang bikin thread ini tuh baru nikah mas udah nikah terus seks bebas sama suaminya emang paling bener ,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.8307}",0.8307,positif
 edukasi atau agenda udah jelas ini agenda menormalisasi seks bebas dan anti pernikahan ,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.7096}",0.7096,positif
 jokowi teken perpres nomor tahun atur kajian persoalan pemuda terkait seks bebas hiv aids hingga perdagangan manusia nerick thohir coldplay pendiem soimah mas adam rupiah cinderella tni jeno deserves better bruno mars sore marjan joe alwyn the weeknd prince louis ,"{'neg': 0.112, 'neu': 0.797, 'pos': 0.091, 'compound': -0.25}",-0.25,negatif
 kalau mau free seks baiknya gunakan lah getah kental membeku ketika terkena udara bebas atau bisa disebut lateks nah dari lateks itu diolah menjadi sesuatu mana salah satunya itu bernama kondom ,"{'neg': 0.056, 'neu': 0.694, 'pos': 0.25, 'compound': 0.8555}",0.8555,positif
